annualinc,collections,delinq,inq,openacc,dti,pubrec,lstatus,applytype_INDIVIDUAL,homeowner_MORTGAGE,homeowner_RENT,homeowner_OWN,term_36 months,vstatus_Not Verified,vstatus_Verified
52.0,0,0,0,9,11.47,2,On Time,1,1,0,0,0,0,0
83.0,0,0,2,24,33.24,0,On Time,1,1,0,0,0,0,1
31.0,0,0,3,7,17.46,3,On Time,1,0,1,0,1,1,0
90.0,0,0,3,12,17.73,0,On Time,1,1,0,0,1,0,0
72.8,0,0,0,11,17.16,0,On Time,1,0,1,0,0,0,1
30.0,0,0,0,7,22.8,2,On Time,1,0,0,1,1,0,0
250.0,0,1,4,15,3.98,0,On Time,1,1,0,0,0,0,0
84.914,0,0,0,24,24.1,0,On Time,1,0,1,0,0,0,1
60.0,0,0,4,16,29.26,0,On Time,1,0,1,0,1,0,1
64.0,0,1,0,11,17.78,0,On Time,1,0,1,0,1,0,0
42.0,0,0,2,13,25.66,1,On Time,1,1,0,0,0,0,0
49.0,0,0,0,20,32.18,0,On Time,1,0,0,1,0,1,0
56.0,0,0,0,9,5.8,0,On Time,1,0,0,1,1,0,0
32.0,0,0,0,6,11.48,0,On Time,1,0,1,0,1,0,0
135.0,0,0,0,19,16.46,0,On Time,1,1,0,0,0,1,0
70.0,0,0,0,5,11.18,0,On Time,1,0,1,0,1,0,0
64.4,0,0,0,5,2.45,0,On Time,1,1,0,0,1,0,1
30.0,0,0,1,10,37.95,1,On Time,1,0,1,0,1,0,0
60.0,0,0,1,11,16.86,1,On Time,1,0,1,0,1,1,0
225.0,0,0,0,15,9.63,0,On Time,1,1,0,0,0,0,0
67.0,0,1,2,14,23.52,0,On Time,1,1,0,0,1,1,0
36.0,0,1,0,19,31.02,0,On Time,1,0,1,0,1,0,1
61.3,0,0,0,6,14.62,4,On Time,1,0,1,0,1,0,1
39.0,0,0,1,11,23.26,0,On Time,1,1,0,0,1,1,0
53.0,0,1,1,13,19.65,0,On Time,1,0,0,1,1,1,0
36.0,0,0,0,6,15.17,0,On Time,1,0,1,0,1,0,0
100.0,0,0,0,8,15.96,0,On Time,1,1,0,0,0,0,0
95.0,0,1,0,15,26.0,0,On Time,1,1,0,0,1,0,0
170.0,0,0,0,9,7.71,0,On Time,1,0,1,0,1,1,0
52.0,0,0,1,20,10.37,0,On Time,1,1,0,0,1,1,0
55.0,0,0,2,9,20.29,1,On Time,1,0,0,1,0,0,0
80.0,0,0,0,15,14.75,1,On Time,1,1,0,0,0,0,1
54.84185,0,1,1,9,9.67,0,On Time,1,1,0,0,0,0,1
50.0,0,0,1,31,7.83,0,On Time,1,1,0,0,1,0,0
75.0,0,0,3,17,29.68,0,On Time,1,0,0,1,0,0,1
50.0,0,0,0,7,17.59,0,On Time,1,1,0,0,0,0,0
80.0,0,0,1,10,10.15,0,On Time,1,1,0,0,1,1,0
120.0,0,0,0,10,9.58,1,On Time,1,1,0,0,1,0,0
75.0,0,0,0,5,7.94,0,On Time,1,0,1,0,1,1,0
50.656,0,0,3,13,31.9,0,On Time,1,0,1,0,0,0,1
78.0,0,0,2,12,23.38,0,On Time,1,1,0,0,0,1,0
95.0,0,0,1,7,8.69,0,On Time,1,0,1,0,1,0,0
49.0,0,0,0,12,29.86,1,On Time,1,0,1,0,0,0,0
105.0,0,0,0,11,21.62,0,On Time,1,1,0,0,0,0,1
95.0,0,0,0,11,18.73,0,On Time,1,1,0,0,1,0,1
45.0,0,0,2,15,24.32,0,On Time,1,0,1,0,0,0,0
65.0,0,0,0,8,26.2,0,On Time,1,0,1,0,0,0,0
32.0,0,2,0,7,23.41,0,On Time,1,0,1,0,1,0,0
38.0,0,0,0,9,14.91,0,On Time,1,1,0,0,0,0,1
65.0,0,1,2,11,12.3,1,On Time,1,0,0,1,1,0,1
72.0,0,0,4,7,11.5,1,On Time,1,1,0,0,1,1,0
103.0,0,0,1,10,30.33,0,On Time,1,0,0,1,0,0,0
62.0,0,0,0,12,13.14,0,On Time,1,1,0,0,1,0,0
95.0,0,0,0,16,8.69,1,Risky,1,0,1,0,1,1,0
97.0,0,1,0,7,8.36,0,On Time,1,0,1,0,1,1,0
51.0,0,1,0,5,6.12,1,On Time,1,0,0,1,0,0,0
27.0,0,0,1,10,19.42,0,On Time,1,0,1,0,1,1,0
92.5,0,0,0,13,22.79,0,On Time,1,1,0,0,1,1,0
70.0,0,0,1,4,20.59,1,On Time,1,0,1,0,1,0,0
45.0,0,0,1,8,9.44,0,On Time,1,0,1,0,1,1,0
40.0,0,0,1,25,32.34,0,On Time,1,0,1,0,0,0,1
89.0,0,0,0,12,28.41,1,On Time,1,0,1,0,0,0,0
44.616,0,0,2,8,7.58,0,On Time,1,0,0,1,0,1,0
90.0,0,0,1,9,16.75,0,On Time,1,0,1,0,1,0,1
130.0,0,0,1,22,18.01,0,On Time,1,0,0,1,0,0,0
35.0,0,0,1,9,18.31,1,On Time,1,0,1,0,1,0,0
80.0,0,0,0,15,10.29,0,On Time,1,1,0,0,1,0,0
97.0,0,1,0,13,20.0,0,On Time,1,1,0,0,1,0,0
80.0,0,1,3,36,24.78,0,On Time,1,1,0,0,0,1,0
58.0,0,0,0,11,22.82,1,On Time,1,1,0,0,1,0,1
60.0,0,0,2,17,21.0,0,On Time,1,0,0,1,1,0,0
32.004,0,0,0,7,23.06,0,On Time,1,1,0,0,1,0,0
47.0,0,0,0,11,29.67,0,On Time,1,0,1,0,1,1,0
52.0,0,0,2,28,30.68,0,On Time,1,1,0,0,1,0,0
75.0,0,0,0,27,8.06,0,On Time,1,0,1,0,0,1,0
94.0,0,0,2,9,8.07,0,On Time,1,1,0,0,1,0,0
55.0,0,0,0,8,12.61,3,Risky,1,1,0,0,1,0,1
30.0,0,0,0,15,24.93,0,On Time,1,0,1,0,1,1,0
80.0,0,0,0,13,17.25,0,On Time,1,0,1,0,1,0,1
75.0,0,1,0,8,21.63,0,Risky,1,1,0,0,0,0,0
25.0,0,0,1,5,8.93,0,Risky,1,0,1,0,1,1,0
60.0,0,0,0,11,17.4,0,On Time,1,1,0,0,0,0,0
58.0,0,0,0,8,18.93,0,On Time,1,0,0,1,1,0,0
80.0,0,0,0,9,9.03,0,On Time,1,0,1,0,1,1,0
64.356,0,0,0,22,33.51,0,On Time,1,1,0,0,0,0,1
25.0,0,0,1,7,13.73,1,On Time,1,1,0,0,1,1,0
70.0,0,0,0,12,27.02,0,On Time,1,0,1,0,1,0,1
85.6,0,0,2,15,25.88,0,On Time,1,1,0,0,0,0,0
55.6,0,0,0,5,25.3,0,On Time,1,1,0,0,0,0,0
80.0,0,0,1,13,14.2,0,On Time,1,1,0,0,1,0,1
18.0,0,0,0,6,27.73,0,On Time,1,0,1,0,1,0,1
90.0,0,0,0,17,19.15,0,On Time,1,0,1,0,1,1,0
79.841,0,0,1,7,26.52,0,On Time,1,1,0,0,1,1,0
50.0,0,0,0,5,11.23,1,On Time,1,0,1,0,1,0,0
35.0,0,0,1,9,21.74,0,On Time,1,0,1,0,1,1,0
79.0,0,0,0,10,15.13,0,On Time,1,1,0,0,0,0,0
28.0,0,0,0,5,18.86,0,On Time,1,1,0,0,1,1,0
32.0,0,0,0,6,15.04,0,Risky,1,0,0,0,1,0,0
53.0,0,0,0,10,24.52,0,On Time,1,1,0,0,1,1,0
65.88,0,0,0,10,16.87,0,Risky,1,1,0,0,1,0,1
97.0,0,0,2,14,26.41,0,On Time,1,0,0,1,1,1,0
42.0,0,0,0,18,24.54,0,On Time,1,1,0,0,0,1,0
42.0,0,0,0,10,29.11,2,On Time,1,0,1,0,1,0,1
65.0,0,0,1,10,11.68,0,On Time,1,0,0,1,1,1,0
86.0,0,0,3,9,8.39,0,On Time,1,1,0,0,1,1,0
80.0,0,0,0,18,15.39,0,On Time,1,0,1,0,1,0,0
85.0,0,1,1,7,8.81,0,On Time,1,1,0,0,0,0,0
55.0,0,0,1,10,8.97,0,On Time,1,1,0,0,1,1,0
98.0,0,0,0,8,29.0,0,On Time,1,0,1,0,1,0,1
100.0,0,0,5,35,5.21,4,On Time,1,0,1,0,1,0,1
68.598,0,0,0,17,31.53,0,On Time,1,1,0,0,0,0,0
22.0,0,0,0,14,27.76,0,On Time,1,1,0,0,1,0,1
90.0,0,0,1,29,30.47,0,On Time,1,0,0,1,0,0,0
35.8,0,0,0,27,23.63,0,On Time,1,0,0,1,1,1,0
90.0,0,0,1,13,8.45,0,On Time,1,0,1,0,1,1,0
42.0,0,0,0,9,17.54,1,On Time,1,1,0,0,0,0,0
82.0,0,0,0,5,13.82,0,On Time,1,0,1,0,1,1,0
63.0,0,0,0,10,29.96,0,On Time,1,1,0,0,1,0,0
82.0,0,0,5,16,30.44,1,Risky,1,1,0,0,0,0,1
64.0,0,3,1,11,18.45,0,On Time,1,0,0,1,1,0,1
100.0,0,0,0,17,26.64,0,On Time,1,1,0,0,0,0,0
95.0,0,0,3,23,21.78,0,On Time,1,0,1,0,1,0,1
77.0,0,0,0,5,10.55,0,On Time,1,0,1,0,0,0,0
39.0,0,0,1,12,39.94,0,On Time,1,0,1,0,0,0,1
55.0,0,0,0,8,26.39,0,On Time,1,0,1,0,0,0,1
56.0,0,0,0,16,16.12,0,On Time,1,0,1,0,1,0,0
121.0,0,0,0,10,8.26,0,On Time,1,1,0,0,0,0,0
82.0,0,1,0,11,27.56,0,On Time,1,1,0,0,0,0,0
47.58,0,0,0,15,30.37,0,On Time,1,0,1,0,0,0,1
32.424,0,0,0,10,30.38,0,On Time,1,0,1,0,1,0,1
150.0,0,0,0,7,2.95,0,On Time,1,1,0,0,1,0,0
350.0,0,0,0,17,25.97,0,On Time,1,1,0,0,1,0,1
56.0,0,0,0,6,28.44,0,On Time,1,1,0,0,0,1,0
68.87,0,0,1,7,14.38,0,On Time,1,0,1,0,0,0,1
82.0,0,0,2,13,30.87,1,On Time,1,0,1,0,1,0,1
58.7,0,1,0,4,9.74,0,On Time,1,0,1,0,1,1,0
97.0,0,1,2,10,19.98,0,On Time,1,0,1,0,0,0,1
40.0,0,2,0,8,31.56,0,On Time,1,1,0,0,1,0,0
118.0,0,0,0,21,20.87,0,On Time,1,1,0,0,0,0,0
155.0,0,0,0,24,19.56,0,On Time,1,1,0,0,1,0,0
29.0,1,1,0,18,15.69,0,On Time,1,1,0,0,1,0,0
87.3,0,0,1,27,33.47,0,On Time,1,1,0,0,0,0,0
49.9,0,0,0,9,18.88,0,On Time,1,1,0,0,1,0,1
102.47169,0,0,0,10,20.52,0,On Time,1,1,0,0,0,0,1
65.0,0,0,1,13,17.6,1,On Time,1,1,0,0,1,1,0
80.0,0,0,1,10,24.91,0,On Time,1,0,1,0,1,1,0
110.0,0,0,4,13,8.05,0,On Time,1,1,0,0,1,1,0
85.1,0,0,0,9,18.39,0,On Time,1,1,0,0,0,1,0
250.0,0,0,0,10,7.19,0,On Time,1,0,0,1,1,0,0
38.0,0,0,3,11,30.16,0,On Time,1,0,1,0,0,0,1
108.0,0,0,1,18,23.43,0,On Time,1,1,0,0,1,0,0
45.0,0,0,0,17,25.45,0,On Time,1,0,1,0,0,1,0
46.0,0,0,0,12,25.7,0,On Time,1,0,1,0,1,0,0
31.0,0,0,0,5,11.85,0,On Time,1,1,0,0,1,0,0
94.0,0,0,1,7,25.07,0,On Time,1,1,0,0,1,1,0
27.48,0,0,0,6,18.03,0,On Time,1,0,1,0,1,0,1
120.0,0,0,0,13,15.94,0,On Time,1,1,0,0,1,1,0
38.1264,0,0,1,10,27.48,0,On Time,1,0,1,0,1,0,1
22.0,0,0,1,25,32.31,0,On Time,1,0,1,0,1,0,1
45.0,0,1,4,22,31.01,0,On Time,1,0,0,1,1,0,1
83.0,0,0,0,12,23.71,0,On Time,1,0,0,1,1,0,0
40.0,0,0,3,5,12.36,1,On Time,1,1,0,0,1,1,0
23.0,0,0,0,14,31.47,0,On Time,1,0,1,0,1,0,1
43.0,0,0,0,7,37.37,0,On Time,1,0,1,0,1,0,1
51.2,0,0,0,9,24.6,1,On Time,1,0,1,0,1,1,0
65.0,0,0,3,14,7.22,0,On Time,1,1,0,0,1,1,0
105.0,0,1,0,25,25.26,0,On Time,1,1,0,0,1,0,1
18.3,0,0,2,21,27.21,0,On Time,1,0,1,0,1,0,1
125.0,1,1,2,13,11.83,0,On Time,1,1,0,0,0,0,0
65.0,0,0,1,2,5.76,0,On Time,1,0,1,0,0,0,1
110.0,0,0,0,10,5.61,0,On Time,1,0,1,0,1,0,0
56.0,0,0,0,5,10.11,0,On Time,1,0,1,0,1,1,0
70.994,0,0,2,12,8.4,0,On Time,1,0,1,0,1,1,0
88.0,0,0,0,7,12.91,0,On Time,1,1,0,0,1,1,0
96.0,0,0,3,7,6.18,0,Risky,1,1,0,0,1,0,0
68.0,0,0,0,9,22.94,0,On Time,1,1,0,0,0,0,0
183.0,0,0,0,15,18.55,0,On Time,1,0,1,0,0,0,1
130.8,0,0,0,17,15.33,0,On Time,1,1,0,0,0,0,0
100.0,0,0,0,7,15.36,0,On Time,1,0,1,0,1,1,0
25.0,0,1,0,5,7.35,0,On Time,1,0,0,1,1,1,0
71.0,0,0,0,16,21.55,0,On Time,1,1,0,0,1,0,0
55.0,0,0,0,13,16.56,0,Risky,1,1,0,0,1,0,0
102.0,0,0,2,21,26.86,0,On Time,1,0,1,0,1,0,0
65.0,0,0,0,8,22.43,0,Risky,1,0,1,0,0,0,1
42.0,0,0,0,20,30.87,0,On Time,1,1,0,0,1,0,1
50.0,0,0,0,6,18.4,0,On Time,1,0,1,0,0,1,0
49.0,0,0,0,7,25.45,1,On Time,1,0,1,0,1,0,1
80.0,0,0,1,16,29.06,0,On Time,1,1,0,0,1,0,1
288.0,0,2,0,12,7.08,0,On Time,1,1,0,0,1,0,1
47.5,0,0,0,14,11.7,0,On Time,1,1,0,0,0,0,0
44.0,0,0,1,6,23.81,0,On Time,1,0,1,0,1,1,0
44.5,0,0,0,19,7.52,0,Risky,1,1,0,0,1,0,1
1254.0,0,3,1,9,0.67,0,On Time,1,0,1,0,1,0,0
34.0,0,0,0,4,22.66,1,On Time,1,0,1,0,1,1,0
75.0,0,0,1,10,2.6,1,On Time,1,1,0,0,1,1,0
93.0,0,1,0,14,28.09,0,On Time,1,1,0,0,0,0,1
95.0,0,0,0,8,4.24,0,On Time,1,1,0,0,1,0,1
36.0,0,0,3,11,19.7,0,On Time,1,0,1,0,1,1,0
52.5,0,0,2,12,26.81,0,Risky,1,0,1,0,1,1,0
106.0,0,0,2,25,26.28,0,On Time,1,1,0,0,1,0,0
170.0,0,0,2,8,6.62,0,On Time,1,1,0,0,1,0,0
109.0,0,1,4,6,6.29,0,On Time,1,0,1,0,1,1,0
15.6,0,0,0,5,5.08,1,On Time,1,0,1,0,1,1,0
97.0,0,0,1,6,12.2,0,On Time,1,0,0,1,1,1,0
75.0,0,1,1,7,11.6,0,On Time,1,0,1,0,1,0,0
87.5,0,0,0,8,16.64,0,On Time,1,1,0,0,0,0,1
50.0,0,0,2,3,11.71,0,On Time,1,0,0,1,1,1,0
23.0,0,0,1,8,22.38,0,On Time,1,0,1,0,1,1,0
240.0,0,2,2,15,10.25,0,On Time,1,0,1,0,1,0,0
80.0,0,0,1,11,9.87,0,On Time,1,0,1,0,1,0,1
169.0,0,0,1,22,18.23,0,On Time,1,1,0,0,1,1,0
43.0,0,0,0,13,16.69,0,On Time,1,0,1,0,1,1,0
65.0,0,0,0,12,7.98,0,On Time,1,0,1,0,1,0,0
70.0,0,3,1,7,20.33,0,On Time,1,1,0,0,1,1,0
22.0,0,0,0,10,27.33,0,On Time,1,0,0,1,1,1,0
155.0,0,0,3,4,10.12,0,On Time,1,0,1,0,1,0,1
39.0,0,0,0,12,12.8,0,On Time,1,0,1,0,1,0,0
48.75,0,1,0,9,21.27,0,On Time,1,0,0,1,1,0,0
70.0,0,0,0,13,18.2,0,On Time,1,1,0,0,1,0,0
80.0,0,2,4,6,8.19,1,On Time,1,1,0,0,0,0,1
47.0,0,0,0,9,23.74,0,On Time,1,1,0,0,1,0,1
53.0,0,0,2,16,21.24,0,On Time,1,1,0,0,0,0,0
100.0,0,1,1,10,1.91,0,On Time,1,0,1,0,1,0,1
66.0,0,0,2,12,15.99,0,On Time,1,0,1,0,1,1,0
