annualinc,applytype,collections,delinq,inq,openacc,dti,pubrec,homeowner,term,vstatus,lstatus
86.172,INDIVIDUAL,0,0,3,8,13.88,0,RENT,36 months,Source Verified,On Time
28.0,INDIVIDUAL,0,0,0,10,10.46,0,RENT,36 months,Not Verified,On Time
41.0,INDIVIDUAL,0,0,0,10,28.08,0,RENT,60 months,Verified,On Time
145.0,INDIVIDUAL,0,0,2,8,9.25,0,MORTGAGE,36 months,Verified,On Time
114.0,INDIVIDUAL,0,0,0,9,18.87,0,OWN,60 months,Verified,On Time
64.0,INDIVIDUAL,0,0,0,8,13.48,0,RENT,36 months,Verified,On Time
72.0,INDIVIDUAL,0,0,0,5,10.8,0,MORTGAGE,36 months,Source Verified,On Time
60.0,INDIVIDUAL,0,0,0,12,25.74,0,MORTGAGE,36 months,Verified,On Time
30.0,INDIVIDUAL,0,0,0,6,28.56,0,RENT,36 months,Source Verified,On Time
47.0,INDIVIDUAL,0,0,0,13,13.73,0,RENT,60 months,Source Verified,On Time
41.0,INDIVIDUAL,0,0,1,8,31.95,0,RENT,36 months,Verified,On Time
85.0,INDIVIDUAL,0,0,0,13,25.98,0,MORTGAGE,60 months,Verified,On Time
34.0,INDIVIDUAL,0,2,0,15,21.25,0,RENT,36 months,Not Verified,On Time
60.0,INDIVIDUAL,0,0,1,12,31.15,0,MORTGAGE,36 months,Not Verified,On Time
41.0,INDIVIDUAL,0,0,1,13,20.2,0,MORTGAGE,36 months,Verified,On Time
58.0,INDIVIDUAL,0,0,3,15,25.7,0,RENT,60 months,Verified,Risky
102.0,INDIVIDUAL,0,5,0,10,7.26,0,MORTGAGE,36 months,Source Verified,On Time
55.358,INDIVIDUAL,0,1,0,11,23.71,0,MORTGAGE,60 months,Verified,On Time
93.0,INDIVIDUAL,0,1,0,19,17.86,0,OWN,60 months,Source Verified,On Time
53.0,INDIVIDUAL,0,0,0,7,30.5,0,OWN,60 months,Source Verified,Risky
70.0,INDIVIDUAL,0,0,0,9,20.31,0,MORTGAGE,36 months,Not Verified,On Time
89.0,INDIVIDUAL,0,0,0,13,21.64,1,RENT,36 months,Source Verified,On Time
50.0,INDIVIDUAL,0,0,0,12,15.27,1,RENT,36 months,Not Verified,On Time
50.0,INDIVIDUAL,0,0,1,12,14.83,0,MORTGAGE,60 months,Source Verified,On Time
65.0,INDIVIDUAL,0,1,0,14,10.97,1,MORTGAGE,60 months,Verified,On Time
50.0,INDIVIDUAL,0,0,0,3,4.27,0,OWN,36 months,Source Verified,On Time
150.0,INDIVIDUAL,0,0,1,26,20.12,0,RENT,36 months,Source Verified,On Time
70.5,INDIVIDUAL,2,4,1,10,24.0,0,MORTGAGE,36 months,Not Verified,On Time
100.0,INDIVIDUAL,0,0,2,19,8.86,0,OWN,60 months,Source Verified,On Time
71.72,INDIVIDUAL,0,0,1,11,13.29,0,MORTGAGE,36 months,Not Verified,On Time
67.616,INDIVIDUAL,0,0,1,7,3.44,1,RENT,36 months,Not Verified,On Time
75.0,INDIVIDUAL,0,0,0,7,10.93,0,MORTGAGE,36 months,Source Verified,Risky
130.0,INDIVIDUAL,0,0,1,16,18.23,1,MORTGAGE,60 months,Source Verified,On Time
55.0,INDIVIDUAL,0,0,0,7,15.06,0,RENT,60 months,Source Verified,On Time
52.0,INDIVIDUAL,0,0,0,9,11.47,2,MORTGAGE,60 months,Source Verified,On Time
83.0,INDIVIDUAL,0,0,2,24,33.24,0,MORTGAGE,60 months,Verified,On Time
31.0,INDIVIDUAL,0,0,3,7,17.46,3,RENT,36 months,Not Verified,On Time
90.0,INDIVIDUAL,0,0,3,12,17.73,0,MORTGAGE,36 months,Source Verified,On Time
72.8,INDIVIDUAL,0,0,0,11,17.16,0,RENT,60 months,Verified,On Time
30.0,INDIVIDUAL,0,0,0,7,22.8,2,OWN,36 months,Source Verified,On Time
250.0,INDIVIDUAL,0,1,4,15,3.98,0,MORTGAGE,60 months,Source Verified,On Time
84.914,INDIVIDUAL,0,0,0,24,24.1,0,RENT,60 months,Verified,On Time
60.0,INDIVIDUAL,0,0,4,16,29.26,0,RENT,36 months,Verified,On Time
64.0,INDIVIDUAL,0,1,0,11,17.78,0,RENT,36 months,Source Verified,On Time
42.0,INDIVIDUAL,0,0,2,13,25.66,1,MORTGAGE,60 months,Source Verified,On Time
49.0,INDIVIDUAL,0,0,0,20,32.18,0,OWN,60 months,Not Verified,On Time
56.0,INDIVIDUAL,0,0,0,9,5.8,0,OWN,36 months,Source Verified,On Time
32.0,INDIVIDUAL,0,0,0,6,11.48,0,RENT,36 months,Source Verified,On Time
135.0,INDIVIDUAL,0,0,0,19,16.46,0,MORTGAGE,60 months,Not Verified,On Time
70.0,INDIVIDUAL,0,0,0,5,11.18,0,RENT,36 months,Source Verified,On Time
64.4,INDIVIDUAL,0,0,0,5,2.45,0,MORTGAGE,36 months,Verified,On Time
30.0,INDIVIDUAL,0,0,1,10,37.95,1,RENT,36 months,Source Verified,On Time
60.0,INDIVIDUAL,0,0,1,11,16.86,1,RENT,36 months,Not Verified,On Time
225.0,INDIVIDUAL,0,0,0,15,9.63,0,MORTGAGE,60 months,Source Verified,On Time
67.0,INDIVIDUAL,0,1,2,14,23.52,0,MORTGAGE,36 months,Not Verified,On Time
36.0,INDIVIDUAL,0,1,0,19,31.02,0,RENT,36 months,Verified,On Time
61.3,INDIVIDUAL,0,0,0,6,14.62,4,RENT,36 months,Verified,On Time
39.0,INDIVIDUAL,0,0,1,11,23.26,0,MORTGAGE,36 months,Not Verified,On Time
53.0,INDIVIDUAL,0,1,1,13,19.65,0,OWN,36 months,Not Verified,On Time
36.0,INDIVIDUAL,0,0,0,6,15.17,0,RENT,36 months,Source Verified,On Time
100.0,INDIVIDUAL,0,0,0,8,15.96,0,MORTGAGE,60 months,Source Verified,On Time
95.0,INDIVIDUAL,0,1,0,15,26.0,0,MORTGAGE,36 months,Source Verified,On Time
170.0,INDIVIDUAL,0,0,0,9,7.71,0,RENT,36 months,Not Verified,On Time
52.0,INDIVIDUAL,0,0,1,20,10.37,0,MORTGAGE,36 months,Not Verified,On Time
55.0,INDIVIDUAL,0,0,2,9,20.29,1,OWN,60 months,Source Verified,On Time
80.0,INDIVIDUAL,0,0,0,15,14.75,1,MORTGAGE,60 months,Verified,On Time
54.84185,INDIVIDUAL,0,1,1,9,9.67,0,MORTGAGE,60 months,Verified,On Time
50.0,INDIVIDUAL,0,0,1,31,7.83,0,MORTGAGE,36 months,Source Verified,On Time
75.0,INDIVIDUAL,0,0,3,17,29.68,0,OWN,60 months,Verified,On Time
50.0,INDIVIDUAL,0,0,0,7,17.59,0,MORTGAGE,60 months,Source Verified,On Time
80.0,INDIVIDUAL,0,0,1,10,10.15,0,MORTGAGE,36 months,Not Verified,On Time
120.0,INDIVIDUAL,0,0,0,10,9.58,1,MORTGAGE,36 months,Source Verified,On Time
75.0,INDIVIDUAL,0,0,0,5,7.94,0,RENT,36 months,Not Verified,On Time
50.656,INDIVIDUAL,0,0,3,13,31.9,0,RENT,60 months,Verified,On Time
78.0,INDIVIDUAL,0,0,2,12,23.38,0,MORTGAGE,60 months,Not Verified,On Time
95.0,INDIVIDUAL,0,0,1,7,8.69,0,RENT,36 months,Source Verified,On Time
49.0,INDIVIDUAL,0,0,0,12,29.86,1,RENT,60 months,Source Verified,On Time
105.0,INDIVIDUAL,0,0,0,11,21.62,0,MORTGAGE,60 months,Verified,On Time
95.0,INDIVIDUAL,0,0,0,11,18.73,0,MORTGAGE,36 months,Verified,On Time
45.0,INDIVIDUAL,0,0,2,15,24.32,0,RENT,60 months,Source Verified,On Time
65.0,INDIVIDUAL,0,0,0,8,26.2,0,RENT,60 months,Source Verified,On Time
32.0,INDIVIDUAL,0,2,0,7,23.41,0,RENT,36 months,Source Verified,On Time
38.0,INDIVIDUAL,0,0,0,9,14.91,0,MORTGAGE,60 months,Verified,On Time
65.0,INDIVIDUAL,0,1,2,11,12.3,1,OWN,36 months,Verified,On Time
72.0,INDIVIDUAL,0,0,4,7,11.5,1,MORTGAGE,36 months,Not Verified,On Time
103.0,INDIVIDUAL,0,0,1,10,30.33,0,OWN,60 months,Source Verified,On Time
62.0,INDIVIDUAL,0,0,0,12,13.14,0,MORTGAGE,36 months,Source Verified,On Time
95.0,INDIVIDUAL,0,0,0,16,8.69,1,RENT,36 months,Not Verified,Risky
97.0,INDIVIDUAL,0,1,0,7,8.36,0,RENT,36 months,Not Verified,On Time
51.0,INDIVIDUAL,0,1,0,5,6.12,1,OWN,60 months,Source Verified,On Time
27.0,INDIVIDUAL,0,0,1,10,19.42,0,RENT,36 months,Not Verified,On Time
92.5,INDIVIDUAL,0,0,0,13,22.79,0,MORTGAGE,36 months,Not Verified,On Time
70.0,INDIVIDUAL,0,0,1,4,20.59,1,RENT,36 months,Source Verified,On Time
45.0,INDIVIDUAL,0,0,1,8,9.44,0,RENT,36 months,Not Verified,On Time
40.0,INDIVIDUAL,0,0,1,25,32.34,0,RENT,60 months,Verified,On Time
89.0,INDIVIDUAL,0,0,0,12,28.41,1,RENT,60 months,Source Verified,On Time
44.616,INDIVIDUAL,0,0,2,8,7.58,0,OWN,60 months,Not Verified,On Time
90.0,INDIVIDUAL,0,0,1,9,16.75,0,RENT,36 months,Verified,On Time
130.0,INDIVIDUAL,0,0,1,22,18.01,0,OWN,60 months,Source Verified,On Time
35.0,INDIVIDUAL,0,0,1,9,18.31,1,RENT,36 months,Source Verified,On Time
80.0,INDIVIDUAL,0,0,0,15,10.29,0,MORTGAGE,36 months,Source Verified,On Time
97.0,INDIVIDUAL,0,1,0,13,20.0,0,MORTGAGE,36 months,Source Verified,On Time
80.0,INDIVIDUAL,0,1,3,36,24.78,0,MORTGAGE,60 months,Not Verified,On Time
58.0,INDIVIDUAL,0,0,0,11,22.82,1,MORTGAGE,36 months,Verified,On Time
60.0,INDIVIDUAL,0,0,2,17,21.0,0,OWN,36 months,Source Verified,On Time
32.004,INDIVIDUAL,0,0,0,7,23.06,0,MORTGAGE,36 months,Source Verified,On Time
47.0,INDIVIDUAL,0,0,0,11,29.67,0,RENT,36 months,Not Verified,On Time
52.0,INDIVIDUAL,0,0,2,28,30.68,0,MORTGAGE,36 months,Source Verified,On Time
75.0,INDIVIDUAL,0,0,0,27,8.06,0,RENT,60 months,Not Verified,On Time
94.0,INDIVIDUAL,0,0,2,9,8.07,0,MORTGAGE,36 months,Source Verified,On Time
55.0,INDIVIDUAL,0,0,0,8,12.61,3,MORTGAGE,36 months,Verified,Risky
30.0,INDIVIDUAL,0,0,0,15,24.93,0,RENT,36 months,Not Verified,On Time
80.0,INDIVIDUAL,0,0,0,13,17.25,0,RENT,36 months,Verified,On Time
75.0,INDIVIDUAL,0,1,0,8,21.63,0,MORTGAGE,60 months,Source Verified,Risky
25.0,INDIVIDUAL,0,0,1,5,8.93,0,RENT,36 months,Not Verified,Risky
60.0,INDIVIDUAL,0,0,0,11,17.4,0,MORTGAGE,60 months,Source Verified,On Time
58.0,INDIVIDUAL,0,0,0,8,18.93,0,OWN,36 months,Source Verified,On Time
80.0,INDIVIDUAL,0,0,0,9,9.03,0,RENT,36 months,Not Verified,On Time
64.356,INDIVIDUAL,0,0,0,22,33.51,0,MORTGAGE,60 months,Verified,On Time
25.0,INDIVIDUAL,0,0,1,7,13.73,1,MORTGAGE,36 months,Not Verified,On Time
70.0,INDIVIDUAL,0,0,0,12,27.02,0,RENT,36 months,Verified,On Time
85.6,INDIVIDUAL,0,0,2,15,25.88,0,MORTGAGE,60 months,Source Verified,On Time
55.6,INDIVIDUAL,0,0,0,5,25.3,0,MORTGAGE,60 months,Source Verified,On Time
80.0,INDIVIDUAL,0,0,1,13,14.2,0,MORTGAGE,36 months,Verified,On Time
18.0,INDIVIDUAL,0,0,0,6,27.73,0,RENT,36 months,Verified,On Time
90.0,INDIVIDUAL,0,0,0,17,19.15,0,RENT,36 months,Not Verified,On Time
79.841,INDIVIDUAL,0,0,1,7,26.52,0,MORTGAGE,36 months,Not Verified,On Time
50.0,INDIVIDUAL,0,0,0,5,11.23,1,RENT,36 months,Source Verified,On Time
35.0,INDIVIDUAL,0,0,1,9,21.74,0,RENT,36 months,Not Verified,On Time
79.0,INDIVIDUAL,0,0,0,10,15.13,0,MORTGAGE,60 months,Source Verified,On Time
28.0,INDIVIDUAL,0,0,0,5,18.86,0,MORTGAGE,36 months,Not Verified,On Time
32.0,INDIVIDUAL,0,0,0,6,15.04,0,OTHER,36 months,Source Verified,Risky
53.0,INDIVIDUAL,0,0,0,10,24.52,0,MORTGAGE,36 months,Not Verified,On Time
65.88,INDIVIDUAL,0,0,0,10,16.87,0,MORTGAGE,36 months,Verified,Risky
97.0,INDIVIDUAL,0,0,2,14,26.41,0,OWN,36 months,Not Verified,On Time
42.0,INDIVIDUAL,0,0,0,18,24.54,0,MORTGAGE,60 months,Not Verified,On Time
42.0,INDIVIDUAL,0,0,0,10,29.11,2,RENT,36 months,Verified,On Time
65.0,INDIVIDUAL,0,0,1,10,11.68,0,OWN,36 months,Not Verified,On Time
86.0,INDIVIDUAL,0,0,3,9,8.39,0,MORTGAGE,36 months,Not Verified,On Time
80.0,INDIVIDUAL,0,0,0,18,15.39,0,RENT,36 months,Source Verified,On Time
85.0,INDIVIDUAL,0,1,1,7,8.81,0,MORTGAGE,60 months,Source Verified,On Time
55.0,INDIVIDUAL,0,0,1,10,8.97,0,MORTGAGE,36 months,Not Verified,On Time
98.0,INDIVIDUAL,0,0,0,8,29.0,0,RENT,36 months,Verified,On Time
100.0,INDIVIDUAL,0,0,5,35,5.21,4,RENT,36 months,Verified,On Time
68.598,INDIVIDUAL,0,0,0,17,31.53,0,MORTGAGE,60 months,Source Verified,On Time
22.0,INDIVIDUAL,0,0,0,14,27.76,0,MORTGAGE,36 months,Verified,On Time
90.0,INDIVIDUAL,0,0,1,29,30.47,0,OWN,60 months,Source Verified,On Time
35.8,INDIVIDUAL,0,0,0,27,23.63,0,OWN,36 months,Not Verified,On Time
90.0,INDIVIDUAL,0,0,1,13,8.45,0,RENT,36 months,Not Verified,On Time
42.0,INDIVIDUAL,0,0,0,9,17.54,1,MORTGAGE,60 months,Source Verified,On Time
82.0,INDIVIDUAL,0,0,0,5,13.82,0,RENT,36 months,Not Verified,On Time
63.0,INDIVIDUAL,0,0,0,10,29.96,0,MORTGAGE,36 months,Source Verified,On Time
82.0,INDIVIDUAL,0,0,5,16,30.44,1,MORTGAGE,60 months,Verified,Risky
64.0,INDIVIDUAL,0,3,1,11,18.45,0,OWN,36 months,Verified,On Time
100.0,INDIVIDUAL,0,0,0,17,26.64,0,MORTGAGE,60 months,Source Verified,On Time
95.0,INDIVIDUAL,0,0,3,23,21.78,0,RENT,36 months,Verified,On Time
77.0,INDIVIDUAL,0,0,0,5,10.55,0,RENT,60 months,Source Verified,On Time
39.0,INDIVIDUAL,0,0,1,12,39.94,0,RENT,60 months,Verified,On Time
55.0,INDIVIDUAL,0,0,0,8,26.39,0,RENT,60 months,Verified,On Time
56.0,INDIVIDUAL,0,0,0,16,16.12,0,RENT,36 months,Source Verified,On Time
121.0,INDIVIDUAL,0,0,0,10,8.26,0,MORTGAGE,60 months,Source Verified,On Time
82.0,INDIVIDUAL,0,1,0,11,27.56,0,MORTGAGE,60 months,Source Verified,On Time
47.58,INDIVIDUAL,0,0,0,15,30.37,0,RENT,60 months,Verified,On Time
32.424,INDIVIDUAL,0,0,0,10,30.38,0,RENT,36 months,Verified,On Time
150.0,INDIVIDUAL,0,0,0,7,2.95,0,MORTGAGE,36 months,Source Verified,On Time
350.0,INDIVIDUAL,0,0,0,17,25.97,0,MORTGAGE,36 months,Verified,On Time
56.0,INDIVIDUAL,0,0,0,6,28.44,0,MORTGAGE,60 months,Not Verified,On Time
68.87,INDIVIDUAL,0,0,1,7,14.38,0,RENT,60 months,Verified,On Time
82.0,INDIVIDUAL,0,0,2,13,30.87,1,RENT,36 months,Verified,On Time
58.7,INDIVIDUAL,0,1,0,4,9.74,0,RENT,36 months,Not Verified,On Time
97.0,INDIVIDUAL,0,1,2,10,19.98,0,RENT,60 months,Verified,On Time
40.0,INDIVIDUAL,0,2,0,8,31.56,0,MORTGAGE,36 months,Source Verified,On Time
118.0,INDIVIDUAL,0,0,0,21,20.87,0,MORTGAGE,60 months,Source Verified,On Time
155.0,INDIVIDUAL,0,0,0,24,19.56,0,MORTGAGE,36 months,Source Verified,On Time
29.0,INDIVIDUAL,1,1,0,18,15.69,0,MORTGAGE,36 months,Source Verified,On Time
87.3,INDIVIDUAL,0,0,1,27,33.47,0,MORTGAGE,60 months,Source Verified,On Time
49.9,INDIVIDUAL,0,0,0,9,18.88,0,MORTGAGE,36 months,Verified,On Time
102.47169,INDIVIDUAL,0,0,0,10,20.52,0,MORTGAGE,60 months,Verified,On Time
65.0,INDIVIDUAL,0,0,1,13,17.6,1,MORTGAGE,36 months,Not Verified,On Time
80.0,INDIVIDUAL,0,0,1,10,24.91,0,RENT,36 months,Not Verified,On Time
110.0,INDIVIDUAL,0,0,4,13,8.05,0,MORTGAGE,36 months,Not Verified,On Time
